id	BusName A	B	busstops
1	Bus 1A	A1	J1	A1 B1 C1 D1 E1 F1 G1 H1 I1 J1
2	Bus 1B	J1	A1	J1 I1 H1 G1 F1 E1 D1 C1 B1 A1
3	Bus 2A	A2	J2	A2 B2 C2 D2 E2 F2 G2 H2 I2 J2
4	Bus 2B	J2	A2	J2 I2 H2 G2 F2 E2 D2 C2 B2 A2
5	Bus 3A	A3	J3	A3 B3 C3 D3 E3 F3 G3 H3 I3 J3
6	Bus 3B	J3	A3	J3 I3 H3 G3 F3 E3 D3 C3 B3 A3
7	Bus 4A	A4	J4	A4 B4 C4 D4 E4 F4 G4 H4 I4 J4
8	Bus 4B	J4	A4	J4 I4 H4 G4 F4 E4 D4 C4 B4 A4
9	Bus 5A	A5	J5	A5 B5 C5 D5 E5 F5 G5 H5 I5 J5
10	Bus 5B	J5	A5	J5 I5 H5 G5 F5 E5 D5 C5 B5 A5
11	Bus 6A	A6	J6	A6 B6 C6 D6 E6 F6 G6 H6 I6 J6
12	Bus 6B	J6	A6	J6 I6 H6 G6 F6 E6 D6 C6 B6 A6
13	Bus 7A	A7	J7	A7 B7 C7 D7 E7 F7 G7 H7 I7 J7
14	Bus 7B	J7	A7	J7 I7 H7 G7 F7 E7 D7 C7 B7 A7
15	Bus 8A	A8	J8	A8 B8 C8 D8 E8 F8 G8 H8 I8 J8
16	Bus 8B	J8	A8	J8 I8 H8 G8 F8 E8 D8 C8 B8 A8
17	Bus 9A	A9	J9	A9 B9 C9 D9 E9 F9 G9 H9 I9 J9
18	Bus 9B	J9	A9	J9 I9 H9 G9 F9 E9 D9 C9 B9 A9
19	Bus 10A	A10	J10	A10 B10 C10 D10 E10 F10 G10 H10 I10 J10
20	Bus 10B	J10	A10	J10 I10 H10 G10 F10 E10 D10 C10 B10 A10
21	Bus 11A	A1	A10	A1 A2 A3 A4 A5 A6 A7 A8 A9 A10
22	Bus 11B	A1	A10	A10 A9 A8 A7 A6 A5 A4 A3 A2 A1
23	Bus 12A	B1	B10	B1 B2 B3 B4 B5 B6 B7 B8 B9 B10
24	Bus 12B	B1	B10	B10 B9 B8 B7 B6 B5 B4 B3 B2 B1
25	Bus 13A	C1	C10	C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
26	Bus 13B	C1	C10	C10 C9 C8 C7 C6 C5 C4 C3 C2 C1
27	Bus 14A	D1	D10	D1 D2 D3 D4 D5 D6 D7 D8 D9 D10
28	Bus 14B	D1	D10	D10 D9 D8 D7 D6 D5 D4 D3 D2 D1
29	Bus 15A	E1	E10	E1 E2 E3 E4 E5 E6 E7 E8 E9 E10
30	Bus 15B	E1	E10	E10 E9 E8 E7 E6 E5 E4 E3 E2 E1
31	Bus 16A	F1	F10	F1 F2 F3 F4 F5 F6 F7 F8 F9 F10
32	Bus 16B	F1	F10	F10 F9 F8 F7 F6 F5 F4 F3 F2 F1
33	Bus 17A	G1	G10	G1 G2 G3 G4 G5 G6 G7 G8 G9 G10
34	Bus 17B	G1	G10	G10 G9 G8 G7 G6 G5 G4 G3 G2 G1
35	Bus 18A	H1	H10	H1 H2 H3 H4 H5 H6 H7 H8 H9 H10
36	Bus 18B	H1	H10	H10 H9 H8 H7 H6 H5 H4 H3 H2 H1
37	Bus 19A	I1	I10	I1 I2 I3 I4 I5 I6 I7 I8 I9 I10
38	Bus 19B	I1	I10	I10 I9 I8 I7 I6 I5 I4 I3 I2 I1
39	Bus 20A	J1	J10	J1 J2 J3 J4 J5 J6 J7 J8 J9 J10
40	Bus 20B	J1	J10	J10 J9 J8 J7 J6 J5 J4 J3 J2 J1
