LinkID	busid	Aid	Bid
1	1	1	11
2	1	11	21
3	1	21	31
4	1	31	41
5	1	41	51
6	1	51	61
7	1	61	71
8	1	71	81
9	1	81	91
10	2	91	81
11	2	81	71
12	2	71	61
13	2	61	51
14	2	51	41
15	2	41	31
16	2	31	21
17	2	21	11
18	2	11	1
19	3	2	12
20	3	12	22
21	3	22	32
22	3	32	42
23	3	42	52
24	3	52	62
25	3	62	72
26	3	72	82
27	3	82	92
28	4	92	82
29	4	82	72
30	4	72	62
31	4	62	52
32	4	52	42
33	4	42	32
34	4	32	22
35	4	22	12
36	4	12	2
37	5	3	13
38	5	13	23
39	5	23	33
40	5	33	43
41	5	43	53
42	5	53	63
43	5	63	73
44	5	73	83
45	5	83	93
46	6	93	83
47	6	83	73
48	6	73	63
49	6	63	53
50	6	53	43
51	6	43	33
52	6	33	23
53	6	23	13
54	6	13	3
55	7	4	14
56	7	14	24
57	7	24	34
58	7	34	44
59	7	44	54
60	7	54	64
61	7	64	74
62	7	74	84
63	7	84	94
64	8	94	84
65	8	84	74
66	8	74	64
67	8	64	54
68	8	54	44
69	8	44	34
70	8	34	24
71	8	24	14
72	8	14	4
73	9	5	15
74	9	15	25
75	9	25	35
76	9	35	45
77	9	45	55
78	9	55	65
79	9	65	75
80	9	75	85
81	9	85	95
82	10	95	85
83	10	85	75
84	10	75	65
85	10	65	55
86	10	55	45
87	10	45	35
88	10	35	25
89	10	25	15
90	10	15	5
91	11	6	16
92	11	16	26
93	11	26	36
94	11	36	46
95	11	46	56
96	11	56	66
97	11	66	76
98	11	76	86
99	11	86	96
100	12	96	86
101	12	86	76
102	12	76	66
103	12	66	56
104	12	56	46
105	12	46	36
106	12	36	26
107	12	26	16
108	12	16	6
109	13	7	17
110	13	17	27
111	13	27	37
112	13	37	47
113	13	47	57
114	13	57	67
115	13	67	77
116	13	77	87
117	13	87	97
118	14	97	87
119	14	87	77
120	14	77	67
121	14	67	57
122	14	57	47
123	14	47	37
124	14	37	27
125	14	27	17
126	14	17	7
127	15	8	18
128	15	18	28
129	15	28	38
130	15	38	48
131	15	48	58
132	15	58	68
133	15	68	78
134	15	78	88
135	15	88	98
136	16	98	88
137	16	88	78
138	16	78	68
139	16	68	58
140	16	58	48
141	16	48	38
142	16	38	28
143	16	28	18
144	16	18	8
145	17	9	19
146	17	19	29
147	17	29	39
148	17	39	49
149	17	49	59
150	17	59	69
151	17	69	79
152	17	79	89
153	17	89	99
154	18	99	89
155	18	89	79
156	18	79	69
157	18	69	59
158	18	59	49
159	18	49	39
160	18	39	29
161	18	29	19
162	18	19	9
163	19	10	20
164	19	20	30
165	19	30	40
166	19	40	50
167	19	50	60
168	19	60	70
169	19	70	80
170	19	80	90
171	19	90	100
172	20	100	90
173	20	90	80
174	20	80	70
175	20	70	60
176	20	60	50
177	20	50	40
178	20	40	30
179	20	30	20
180	20	20	10
181	21	1	2
182	21	2	3
183	21	3	4
184	21	4	5
185	21	5	6
186	21	6	7
187	21	7	8
188	21	8	9
189	21	9	10
190	22	10	9
191	22	9	8
192	22	8	7
193	22	7	6
194	22	6	5
195	22	5	4
196	22	4	3
197	22	3	2
198	22	2	1
199	23	11	12
200	23	12	13
201	23	13	14
202	23	14	15
203	23	15	16
204	23	16	17
205	23	17	18
206	23	18	19
207	23	19	20
208	24	20	19
209	24	19	18
210	24	18	17
211	24	17	16
212	24	16	15
213	24	15	14
214	24	14	13
215	24	13	12
216	24	12	11
217	25	21	22
218	25	22	23
219	25	23	24
220	25	24	25
221	25	25	26
222	25	26	27
223	25	27	28
224	25	28	29
225	25	29	30
226	26	30	29
227	26	29	28
228	26	28	27
229	26	27	26
230	26	26	25
231	26	25	24
232	26	24	23
233	26	23	22
234	26	22	21
235	27	31	32
236	27	32	33
237	27	33	34
238	27	34	35
239	27	35	36
240	27	36	37
241	27	37	38
242	27	38	39
243	27	39	40
244	28	40	39
245	28	39	38
246	28	38	37
247	28	37	36
248	28	36	35
249	28	35	34
250	28	34	33
251	28	33	32
252	28	32	31
253	29	41	42
254	29	42	43
255	29	43	44
256	29	44	45
257	29	45	46
258	29	46	47
259	29	47	48
260	29	48	49
261	29	49	50
262	30	50	49
263	30	49	48
264	30	48	47
265	30	47	46
266	30	46	45
267	30	45	44
268	30	44	43
269	30	43	42
270	30	42	41
271	31	51	52
272	31	52	53
273	31	53	54
274	31	54	55
275	31	55	56
276	31	56	57
277	31	57	58
278	31	58	59
279	31	59	60
280	32	60	59
281	32	59	58
282	32	58	57
283	32	57	56
284	32	56	55
285	32	55	54
286	32	54	53
287	32	53	52
288	32	52	51
289	33	61	62
290	33	62	63
291	33	63	64
292	33	64	65
293	33	65	66
294	33	66	67
295	33	67	68
296	33	68	69
297	33	69	70
298	34	70	69
299	34	69	68
300	34	68	67
301	34	67	66
302	34	66	65
303	34	65	64
304	34	64	63
305	34	63	62
306	34	62	61
307	35	71	72
308	35	72	73
309	35	73	74
310	35	74	75
311	35	75	76
312	35	76	77
313	35	77	78
314	35	78	79
315	35	79	80
316	36	80	79
317	36	79	78
318	36	78	77
319	36	77	76
320	36	76	75
321	36	75	74
322	36	74	73
323	36	73	72
324	36	72	71
325	37	81	82
326	37	82	83
327	37	83	84
328	37	84	85
329	37	85	86
330	37	86	87
331	37	87	88
332	37	88	89
333	37	89	90
334	38	90	89
335	38	89	88
336	38	88	87
337	38	87	86
338	38	86	85
339	38	85	84
340	38	84	83
341	38	83	82
342	38	82	81
343	39	91	92
344	39	92	93
345	39	93	94
346	39	94	95
347	39	95	96
348	39	96	97
349	39	97	98
350	39	98	99
351	39	99	100
352	40	100	99
353	40	99	98
354	40	98	97
355	40	97	96
356	40	96	95
357	40	95	94
358	40	94	93
359	40	93	92
360	40	92	91
