DAY 	LINK	COURSE	TatA	Tatb
1	1	1	0600	0605
1	2	1	0605	0608
1	3	1	0608	0611
1	4	1	0611	0616
1	5	1	0600	0605
1	6	1	0605	0608
1	7	1	0608	0611
1	8	1	0611	0616
1	9	1	0600	0606
1	10	1	0606	0612
1	11	1	0612	0615
1	12	1	0615	0620
1	13	1	0619	0620
1	1	2	1000	1005
1	2	2	1005	1008
1	3	2	1008	1011
1	4	2	1011	1016
1	5	2	1000	1005
1	6	2	1005	1008
1	7	2	1008	1011
1	8	2	1011	1016
1	9	2	1000	1006
1	10	2	1006	1012
1	11	2	1012	1015
1	12	2	1015	1020
1	13	2	1019	1020
2	1	1	0900	0905
2	2	1	0905	0908
2	3	1	0908	0911
2	4	1	0911	0916
2	5	1	0900	0905
2	6	1	0905	0908
2	7	1	0908	0911
2	8	1	0911	0916
2	9	1	0900	0906
2	10	1	0906	0912
2	11	1	0912	0915
2	12	1	0915	0920
2	13	1	0919	0920
