DAY 	LINK	COURSE	TatA	Tatb
1	1	1	0600	0605
1	2	1	0605	0608
1	3	1	0608	0611
1	4	1	0611	0616
1	5	1	0600	0605
1	6	1	0605	0608
1	7	1	0608	0611
1	8	1	0611	0616
1	9	1	0600	0606
1	10	1	0606	0612
1	11	1	0612	0615
1	12	1	0615	0620
1	13	1	0619	0620
1	1	2	1600	1605
1	2	2	1605	1608
1	3	2	1608	1611
1	4	2	1611	1616
1	5	2	1600	1605
1	6	2	1605	1608
1	7	2	1608	1611
1	8	2	1611	1616
1	9	2	1600	1606
1	10	2	1606	1612
1	11	2	1612	1615
1	12	2	1615	1620
1	13	2	1619	1620
1	1	1	0900	0905
1	2	1	0905	0908
1	3	1	0908	0911
1	4	1	0911	0916
1	5	1	0900	0905
1	6	1	0905	0908
1	7	1	0908	0911
1	8	1	0911	0916
1	9	1	0900	0906
1	10	1	0906	0912
1	11	1	0912	0915
1	12	1	0915	0920
1	13	1	0919	0920
