name 	lat	log
A1	1	1
A2	1	2
A3	1	3
A4	1	4
A5	1	5
A6	1	6
A7	1	7
A8	1	8
A9	1	9
A10	1	10
A11	1	11
A12	1	12
A13	1	13
A14	1	14
A15	1	15
A16	1	16
A17	1	17
A18	1	18
A19	1	19
A20	1	20
A21	1	21
A22	1	22
A23	1	23
A24	1	24
B1	2	1
B2	2	2
B3	2	3
B4	2	4
B5	2	5
B6	2	6
B7	2	7
B8	2	8
B9	2	9
B10	2	10
B11	2	11
B12	2	12
B13	2	13
B14	2	14
B15	2	15
B16	2	16
B17	2	17
B18	2	18
B19	2	19
B20	2	20
B21	2	21
B22	2	22
B23	2	23
B24	2	24
C1	3	1
C2	3	2
C3	3	3
C4	3	4
C5	3	5
C6	3	6
C7	3	7
C8	3	8
C9	3	9
C10	3	10
C11	3	11
C12	3	12
C13	3	13
C14	3	14
C15	3	15
C16	3	16
C17	3	17
C18	3	18
C19	3	19
C20	3	20
C21	3	21
C22	3	22
C23	3	23
C24	3	24
D1	4	1
D2	4	2
D3	4	3
D4	4	4
D5	4	5
D6	4	6
D7	4	7
D8	4	8
D9	4	9
D10	4	10
D11	4	11
D12	4	12
D13	4	13
D14	4	14
D15	4	15
D16	4	16
D17	4	17
D18	4	18
D19	4	19
D20	4	20
D21	4	21
D22	4	22
D23	4	23
D24	4	24
E1	5	1
E2	5	2
E3	5	3
E4	5	4
E5	5	5
E6	5	6
E7	5	7
E8	5	8
E9	5	9
E10	5	10
E11	5	11
E12	5	12
E13	5	13
E14	5	14
E15	5	15
E16	5	16
E17	5	17
E18	5	18
E19	5	19
E20	5	20
E21	5	21
E22	5	22
E23	5	23
E24	5	24
F1	6	1
F2	6	2
F3	6	3
F4	6	4
F5	6	5
F6	6	6
F7	6	7
F8	6	8
F9	6	9
F10	6	10
F11	6	11
F12	6	12
F13	6	13
F14	6	14
F15	6	15
F16	6	16
F17	6	17
F18	6	18
F19	6	19
F20	6	20
F21	6	21
F22	6	22
F23	6	23
F24	6	24
G1	7	1
G2	7	2
G3	7	3
G4	7	4
G5	7	5
G6	7	6
G7	7	7
G8	7	8
G9	7	9
G10	7	10
G11	7	11
G12	7	12
G13	7	13
G14	7	14
G15	7	15
G16	7	16
G17	7	17
G18	7	18
G19	7	19
G20	7	20
G21	7	21
G22	7	22
G23	7	23
G24	7	24
H1	8	1
H2	8	2
H3	8	3
H4	8	4
H5	8	5
H6	8	6
H7	8	7
H8	8	8
H9	8	9
H10	8	10
H11	8	11
H12	8	12
H13	8	13
H14	8	14
H15	8	15
H16	8	16
H17	8	17
H18	8	18
H19	8	19
H20	8	20
H21	8	21
H22	8	22
H23	8	23
H24	8	24
I1	9	1
I2	9	2
I3	9	3
I4	9	4
I5	9	5
I6	9	6
I7	9	7
I8	9	8
I9	9	9
I10	9	10
I11	9	11
I12	9	12
I13	9	13
I14	9	14
I15	9	15
I16	9	16
I17	9	17
I18	9	18
I19	9	19
I20	9	20
I21	9	21
I22	9	22
I23	9	23
I24	9	24
J1	10	1
J2	10	2
J3	10	3
J4	10	4
J5	10	5
J6	10	6
J7	10	7
J8	10	8
J9	10	9
J10	10	10
J11	10	11
J12	10	12
J13	10	13
J14	10	14
J15	10	15
J16	10	16
J17	10	17
J18	10	18
J19	10	19
J20	10	20
J21	10	21
J22	10	22
J23	10	23
J24	10	24
K1	11	1
K2	11	2
K3	11	3
K4	11	4
K5	11	5
K6	11	6
K7	11	7
K8	11	8
K9	11	9
K10	11	10
K11	11	11
K12	11	12
K13	11	13
K14	11	14
K15	11	15
K16	11	16
K17	11	17
K18	11	18
K19	11	19
K20	11	20
K21	11	21
K22	11	22
K23	11	23
K24	11	24
L1	12	1
L2	12	2
L3	12	3
L4	12	4
L5	12	5
L6	12	6
L7	12	7
L8	12	8
L9	12	9
L10	12	10
L11	12	11
L12	12	12
L13	12	13
L14	12	14
L15	12	15
L16	12	16
L17	12	17
L18	12	18
L19	12	19
L20	12	20
L21	12	21
L22	12	22
L23	12	23
L24	12	24
M1	13	1
M2	13	2
M3	13	3
M4	13	4
M5	13	5
M6	13	6
M7	13	7
M8	13	8
M9	13	9
M10	13	10
M11	13	11
M12	13	12
M13	13	13
M14	13	14
M15	13	15
M16	13	16
M17	13	17
M18	13	18
M19	13	19
M20	13	20
M21	13	21
M22	13	22
M23	13	23
M24	13	24
N1	14	1
N2	14	2
N3	14	3
N4	14	4
N5	14	5
N6	14	6
N7	14	7
N8	14	8
N9	14	9
N10	14	10
N11	14	11
N12	14	12
N13	14	13
N14	14	14
N15	14	15
N16	14	16
N17	14	17
N18	14	18
N19	14	19
N20	14	20
N21	14	21
N22	14	22
N23	14	23
N24	14	24
O1	15	1
O2	15	2
O3	15	3
O4	15	4
O5	15	5
O6	15	6
O7	15	7
O8	15	8
O9	15	9
O10	15	10
O11	15	11
O12	15	12
O13	15	13
O14	15	14
O15	15	15
O16	15	16
O17	15	17
O18	15	18
O19	15	19
O20	15	20
O21	15	21
O22	15	22
O23	15	23
O24	15	24
P1	16	1
P2	16	2
P3	16	3
P4	16	4
P5	16	5
P6	16	6
P7	16	7
P8	16	8
P9	16	9
P10	16	10
P11	16	11
P12	16	12
P13	16	13
P14	16	14
P15	16	15
P16	16	16
P17	16	17
P18	16	18
P19	16	19
P20	16	20
P21	16	21
P22	16	22
P23	16	23
P24	16	24
Q1	17	1
Q2	17	2
Q3	17	3
Q4	17	4
Q5	17	5
Q6	17	6
Q7	17	7
Q8	17	8
Q9	17	9
Q10	17	10
Q11	17	11
Q12	17	12
Q13	17	13
Q14	17	14
Q15	17	15
Q16	17	16
Q17	17	17
Q18	17	18
Q19	17	19
Q20	17	20
Q21	17	21
Q22	17	22
Q23	17	23
Q24	17	24
R1	18	1
R2	18	2
R3	18	3
R4	18	4
R5	18	5
R6	18	6
R7	18	7
R8	18	8
R9	18	9
R10	18	10
R11	18	11
R12	18	12
R13	18	13
R14	18	14
R15	18	15
R16	18	16
R17	18	17
R18	18	18
R19	18	19
R20	18	20
R21	18	21
R22	18	22
R23	18	23
R24	18	24
S1	19	1
S2	19	2
S3	19	3
S4	19	4
S5	19	5
S6	19	6
S7	19	7
S8	19	8
S9	19	9
S10	19	10
S11	19	11
S12	19	12
S13	19	13
S14	19	14
S15	19	15
S16	19	16
S17	19	17
S18	19	18
S19	19	19
S20	19	20
S21	19	21
S22	19	22
S23	19	23
S24	19	24
T1	20	1
T2	20	2
T3	20	3
T4	20	4
T5	20	5
T6	20	6
T7	20	7
T8	20	8
T9	20	9
T10	20	10
T11	20	11
T12	20	12
T13	20	13
T14	20	14
T15	20	15
T16	20	16
T17	20	17
T18	20	18
T19	20	19
T20	20	20
T21	20	21
T22	20	22
T23	20	23
T24	20	24
U1	21	1
U2	21	2
U3	21	3
U4	21	4
U5	21	5
U6	21	6
U7	21	7
U8	21	8
U9	21	9
U10	21	10
U11	21	11
U12	21	12
U13	21	13
U14	21	14
U15	21	15
U16	21	16
U17	21	17
U18	21	18
U19	21	19
U20	21	20
U21	21	21
U22	21	22
U23	21	23
U24	21	24
V1	22	1
V2	22	2
V3	22	3
V4	22	4
V5	22	5
V6	22	6
V7	22	7
V8	22	8
V9	22	9
V10	22	10
V11	22	11
V12	22	12
V13	22	13
V14	22	14
V15	22	15
V16	22	16
V17	22	17
V18	22	18
V19	22	19
V20	22	20
V21	22	21
V22	22	22
V23	22	23
V24	22	24
W1	23	1
W2	23	2
W3	23	3
W4	23	4
W5	23	5
W6	23	6
W7	23	7
W8	23	8
W9	23	9
W10	23	10
W11	23	11
W12	23	12
W13	23	13
W14	23	14
W15	23	15
W16	23	16
W17	23	17
W18	23	18
W19	23	19
W20	23	20
W21	23	21
W22	23	22
W23	23	23
W24	23	24
X1	24	1
X2	24	2
X3	24	3
X4	24	4
X5	24	5
X6	24	6
X7	24	7
X8	24	8
X9	24	9
X10	24	10
X11	24	11
X12	24	12
X13	24	13
X14	24	14
X15	24	15
X16	24	16
X17	24	17
X18	24	18
X19	24	19
X20	24	20
X21	24	21
X22	24	22
X23	24	23
X24	24	24
Y1	25	1
Y2	25	2
Y3	25	3
Y4	25	4
Y5	25	5
Y6	25	6
Y7	25	7
Y8	25	8
Y9	25	9
Y10	25	10
Y11	25	11
Y12	25	12
Y13	25	13
Y14	25	14
Y15	25	15
Y16	25	16
Y17	25	17
Y18	25	18
Y19	25	19
Y20	25	20
Y21	25	21
Y22	25	22
Y23	25	23
Y24	25	24
Z1	26	1
Z2	26	2
Z3	26	3
Z4	26	4
Z5	26	5
Z6	26	6
Z7	26	7
Z8	26	8
Z9	26	9
Z10	26	10
Z11	26	11
Z12	26	12
Z13	26	13
Z14	26	14
Z15	26	15
Z16	26	16
Z17	26	17
Z18	26	18
Z19	26	19
Z20	26	20
Z21	26	21
Z22	26	22
Z23	26	23
Z24	26	24
