LinkID	busid	Aid	Bid
11	1	65	66
12	1	66	67
13	1	67	68
14	1	68	69
15	1	69	70
16	1	70	71
17	1	71	72
21	2	72	71
22	2	71	70
23	2	70	69
24	2	69	68
25	2	68	67
26	2	67	66
27	2	66	65
31	3	88	89
32	3	89	67
33	3	67	90
34	3	90	87
35	3	87	69
36	3	69	73
37	3	73	74
41	4	74	73
42	4	73	69
43	4	69	87
44	4	87	90
45	4	90	67
46	4	67	89
47	4	89	88
51	5	82	67
52	5	67	79
53	5	79	76
54	5	76	80
55	5	80	81
61	6	81	80
62	6	80	76
63	6	76	79
64	6	79	67
65	6	67	82
71	7	69	70
72	7	70	71
73	7	71	77
74	7	77	76
75	7	76	75
81	8	75	76
82	8	76	77
83	8	77	71
84	8	71	70
85	8	70	69
